objectid,title,display_template,creator,date,degree,thesis_url,description,location,object_location,subject,format,rights,website,image_small
hist_11,"Deaf Education, the Politics of Humanitarianism, and State Formation in Saskatchewan and Alberta, 1880-1931",pdf,"Barron, Sandy",2021,Doctor of Philosophy,https://curve.carleton.ca/5dc1da72-0460-47c6-b35f-3d6aaa7d3d73,"This study traces the development of deaf education in Alberta and Saskatchewan between 1880 and 1931 and its corresponding effects on state formation in Western Canada. Through this topic, it identifies a rise of deaf politics in the wake of the First World War that achieved notable successes in Saskatchewan in the interwar period. A new term for discussing oppressive attitudes against deaf communities from hearing people, humanitarianism, is proposed and explored. These provinces took decades to develop state institutions that were meant to ensure ""productive"" and ""independent"" futures for deaf children in the burgeoning nineteenth-century liberal colonial order on the Prairies. In doing so, they began to define their own provincial boundaries, both in the sense of geography and responsibility. They also began to define theoretical boundaries between deafness and hearing, intellectual ability and disability, as well as rights and humanitarian assistance. The development of deaf education in Alberta and Saskatchewan, I argue, pushed emergent provinces to accept the rights of deaf youth to education, though this process was uneven and did not represent a straight teleological arch. Deaf associations and individuals themselves pushed the provinces and took leadership roles in this process, making them heretofore unrecognized political agents in search of rights. Chapters include considerations of deaf education as an instrument of settler colonialism, histories of hearing and deaf families with deaf children, the role played by the Manitoba School for the Deaf in marking intellectual disability in the three Prairie provinces, and the role of the Western Canadian Association of the Deaf in the founding of the Saskatchewan School for the Deaf in 1931.",Alberta;Saskatchewan;Canada,https://curve.carleton.ca/system/files/etd/5dc1da72-0460-47c6-b35f-3d6aaa7d3d73/etd_pdf/39c9c5aadabd79528a797f9dca423a6d/barron-deafeducationthepoliticsofhumanitarianism.pdf,Education - History of;Canadian History,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg
hist_12,Empire of Liberation: Investigating Soviet Activity in Africa from Khrushchev to Gorbachev,pdf,"Beudot, Ezra Kearney",2020,Master of Arts,https://curve.carleton.ca/5b0ca3c3-30f5-4ff6-b6e8-1baed06bddd0,"Africa is often treated as an inconsequential sideshow in the Cold War, with Soviet activity in Africa during this period being discussed only in a regional or sub-regional context. This reduces scholastic understanding of Soviet activity in Africa and Africa's role as a theatre in a truly global Cold War. This thesis is not a survey of Soviet interactions with African partners, but an investigation of trends in Soviet policy towards Africa that become evident with a wider lens. This approach places Soviet activity in a continental and global perspective. This project focuses specifically on the post-Stalin era between 1953 and 1991. While Soviet leaders hesitantly collaborated to defeat the United States and its allies in what the Soviets considered a zero-sum game, this project concludes there was no grand plan towards Africa. This allows for a better understanding of the trajectory of present Russian relations with African states.",Africa;USSR,https://curve.carleton.ca/system/files/etd/5b0ca3c3-30f5-4ff6-b6e8-1baed06bddd0/etd_pdf/d47ef9ff8b92351ed0d0627cb36c8ff5/beudot-empireofliberationinvestigatingsovietactivity.pdf,Russian and Soviet,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg
hist_13,NO OTHER MEANS THAN BY PEN: LETTERS FROM EARLY MODERN ENGLISH NUNS IN EXILE,pdf,"Sharp, Tanyss Anne",2020,Master of Arts,https://curve.carleton.ca/283d01be-003a-42a0-bc1b-6362a88a31e7,"This thesis explores how early modern English nuns in exile on the European continent purposefully utilized letter writing as a strategy of communication with the outside world. Cut off from their homeland and families by both geographic distance and physical enclosure, letters provided women religious with a medium to ensure their convents' survival and preserve English Catholicism. This critical analysis of nuns' letters reveals the multidimensional nature and intentional construction of their correspondence. Nuns made deliberate epistolary choices. They employed strategic language, utilized flattery and humility, as well as exaggeration and gossip to achieve their objectives. A comparison of individual epistolary experiences demonstrates that letters were vital for maintaining familial and kinship ties, financial and spiritual economies, political engagement, and the transnational diffusion of information.",England;Europe,https://curve.carleton.ca/system/files/etd/283d01be-003a-42a0-bc1b-6362a88a31e7/etd_pdf/1179d2e5377cc25b4e7916147683c3fe/sharp-noothermeansthanbypenlettersfromearlymodern.pdf,European History; Women's Studies; History of Religion,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg
hist_14,Object Lessons: Domestic Interiors on Display at Eatons Toronto Department Stores,pdf,"Haight, Susan",2020,Doctor of Philosophy,https://curve.carleton.ca/dddab573-ba3c-4aa2-a001-d6191eb268d3,"During the interwar years the T. Eaton Company constructed a number of life-sized model houses and period rooms in their Toronto department stores as a means of marketing furniture and house furnishings. This thesis argues that Eaton's used these domestic displays in a program of public pedagogy intended to sell Torontonians specific ideas about middle class values as well as tables and chairs, carpets and wallpaper. Advertising, most notably in the Toronto Globe, complemented these object lessons in modern middlebrow domesticity. Starting in the late nineteenth century many furniture retailers in Europe and North America had deployed such displays as marketing tools. Situating this commercial practice in a particular time and place enables a deeper understanding of its cultural meaning. Eaton's interwar displays reflected corporate imaginings of the local market: Thrift House (1926-1950) was designed to appeal to budget-conscious homeowners, while the Ideal Ontario House (1930-1936) encouraged more affluent Torontonians to buy Canadian made furnishings. The House of To-day (1929) targeted those willing to experiment with innovative art moderne designs. Period interiors featuring English and French historical styles remained a constant, reflecting the popularity of tradition during these decades. Mid level employees, such as interior designers René Cera and Phyllis Stagg, and innovative copywriter Edith Macdonald (known as 'The Scribe'), used their talents to teach shoppers about the aesthetics of interior design, financial literacy, and the impact of consumer choices on the national economy: a syllabus that reinforced a definition of appropriate middle class consumerism as disciplined desire. As a site of display, Eaton's was linked to more obviously authoritative institutions of public pedagogy in Toronto, such as the Royal Ontario Museum. Through its focus on domesticity and its embrace of public pedagogy as a key marketing technique, the store cultivated an image as a civic benefactor, undercutting contemporary critiques of mass merchandising as essentially deceptive and corrupt. Case studies of the store's interwar domestic displays reveal successes and failures of Eaton's bid for cultural authority in a city of homes.",Canada;Ontario;Toronto,https://curve.carleton.ca/system/files/etd/dddab573-ba3c-4aa2-a001-d6191eb268d3/etd_pdf/96d4e2e5ae680c41a0815d03699f6761/haight-objectlessonsdomesticinteriorsondisplayat.pdf,Canadian History; Design and Decorative Arts,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg
hist_15,Digital Transcription and Analysis of the Carleton Antiphonary,pdf,"Brasseur, Kaitlyn Jeanette",2020,Master of Arts,https://curve.carleton.ca/884b3c0a-04d3-48ec-8a38-041b66354bab,"This website and essay examines Ottawa, Carleton University Library, Archives and Research Collections Ms. 1 (hereby referred to as the Carleton Antiphonary) as a medieval artefact. Lack of resources devoted to cataloguing has left many North American manuscripts hidden and unstudied, and such was the fate of the Carleton Antiphonary. This project digitizes and analyses this unique compound manuscript to increase the accessibility of digital facsimiles. Furthermore, the codicological evidence proves this artefact is worth studying as a devotional object, as it demonstrates long-standing use over the last five hundred years. The goal of this project has been twofold. First, it has been to bring this medieval codex to light by making it accessible online. Secondly, the goal has been to share the process by which others may make medieval materials accessible using open-source tools and the coding purpose made for this project. To access the website: https://carleton-antiphonary.herokuapp.com",Canada;Ottawa;Europe,https://curve.carleton.ca/system/files/etd/884b3c0a-04d3-48ec-8a38-041b66354bab/etd_pdf/e89c15084b2f3248abf0c58afec85beb/brasseur-digitaltranscriptionandanalysisofthecarleton.pdf,Medieval; History of Religion; Literature - Medieval,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",https://carleton-antiphonary.herokuapp.com,https://carleton-antiphonary.herokuapp.com/img/home-banner.jpg
hist_16,"The Course and Canon of Left Nationalism in English Canada, 1968-1979",pdf,"Chiarello, Michael Cesare",2020,Doctor of Philosophy,https://curve.carleton.ca/c0115ff1-5795-408a-8fa1-28d3633f97d8,"This dissertation is an inquiry into the political and intellectual currents of English Canadian left nationalism from the late 1960s through the 1970s. It investigates the reasons why left nationalism emerged as a major force in English Canadian left politics and explores the evolution of a neo-Marxist critique of both Canadian capitalism and Canada's relationship with the United States. Left nationalism represented a distinctive perspective and political agenda. Its vision was of a Canada divorced from the American-led capitalist world system. English Canadian left nationalism had a political manifestation in the Waffle movement and an intellectual manifestation in the New Canadian Political Economy. The dissertation demonstrates that the left nationalist interpretation of Canadian-American relations was not rooted in anti-Americanism, but in a radical politics of democratic socialism and anti-imperialism. Left nationalism was primarily the product of neo-Marxist thought, rather than a reaction to problems in American politics, society, and foreign policy. English Canadian left nationalists were disruptors who, unlike their New Nationalist contemporaries, did not advance a program of capitalist or social democratic reform. The left nationalists were determined to replace capitalism with democratic socialism; without socialism, there could be no Canadian independence. Left nationalists sought to end Canada's colonial status in the declining American empire, viewed the preservation of Canada's resources as imperative to the country's long-term prosperity, and advanced neo-Marxism in the academy and in the universities. The dissertation interrogates internal debates within the New Democratic Party over how to respond to the problem of American dependency; the rise and fall of the Waffle movement; the left nationalist response to crises in Canadian-American relations during the late 1960s and early 1970s; and the establishment of the New Canadian Political Economy, left nationalism's most enduring legacy.",Canada,https://curve.carleton.ca/system/files/etd/c0115ff1-5795-408a-8fa1-28d3633f97d8/etd_pdf/4bbf9a6815247edc5502ab02182908a4/chiarello-thecourseandcanonofleftnationalisminenglish.pdf,Canadian History,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg
hist_17,A Family's Role: Kindereuthanasie and Familial Emotions Under National Socialism,pdf,"Breault, Meagan Lise",2020,Master of Arts,https://curve.carleton.ca/a83d187a-0e38-44f0-bcc8-6ad8036dd017,"During the National Socialist period, the Third Reich murdered over 200,000 disabled individuals because the Nazis deemed them ""life unworthy of life."" While historians have conceptualized the violence of official Nazi policy and perpetrators, the role of individual families has largely been overlooked. This thesis utilizes a history of emotions framework to analyze the position of the family in this violence, particularly in how parents of children's euthanasia victims acted during the Second World War and how they portrayed their actions after the fall of the Nazi regime. Postwar testimonies demonstrate that parents did play an active part (sometimes unknowingly) in the program and its postwar legacies through their emotional navigation of consent, acceptance of institutionalization, and opposition. In all three instances, despite the differing approaches to the Nazi ""life unworthy of life"" idea, parents portrayed their emotions and actions as being influenced by what was best for their children.",Germany,https://curve.carleton.ca/system/files/etd/a83d187a-0e38-44f0-bcc8-6ad8036dd017/etd_pdf/5eee1babb0f3503b8b49030d19563fee/breault-afamilysrolekindereuthanasieandfamilialemotions.pdf,European History,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg
hist_18,"Narrators, Navigators and Negotiators: Foreign Service Officer Life Stories from Canadas Africa Refugee Resettlement Program, 1970 to 1990",pdf,"Chironda, Andriata",2020,Doctor of Philosophy,https://curve.carleton.ca/4b93728e-b3ae-49d8-ad43-33b4db6ff02a,"This dissertation critically examines the life stories of three Canadian Foreign Service officers, in order to tell a history about how officers ""heard"" and decided on the claims of refugee applicants who sought admission and resettlement to Canada through its Africa Refugee Program from the early 1970s to 1990. This focus allows the study to explore the relationship between officers' individual agency and structure in the implementation of Canadian refugee policy, and to present a hitherto under-represented part of Canada's immigration history. The research argues that the context and conditions of refugee selection can be more fully understood by explaining: the material and ideational structures within which the officers (hearers) navigated; the many types of relationships they negotiated; and the narratives they created, both about themselves and about their role in refugee selection. This work conceptualizes the officers as ""narrators"" (past and present), ""navigators"" and ""negotiators."" The dissertation is situated within the literature on oral history, immigration to Canada, and the interdisciplinary study of the management of migration and refugee movements. It draws on substantive oral history interviews the author conducted with the three officers. In order to situate these life stories within the prevailing state structures of the time, the research draws on primary sources, including Government of Canada policy documents, the 1976 Immigration Act, Annual Reports to Parliament on Immigration Levels Plans and Ministry of Employment and Immigration Statistics. This work argues that, notwithstanding limitations on their autonomy, the degree and nature of discretion and agency that officers exercised varied depending on the local context of implementation and the particularities of the refugee applicant or situation. Together, the life stories reflect a collective narrative about the settings, conditions, constraints and interests that shaped how the officers ""heard"" refugee applicant stories while they implemented Canada's humanitarian and resettlement policy through the Africa Refugee Program, in its earliest and formative years. Collectively, the life stories put a human face on complex bureaucratic processes, and demonstrate that individual agency matters and affect; S outcomes in policy implementation. ‚Äö√Ñ√â",Canada;Africa,https://curve.carleton.ca/system/files/etd/4b93728e-b3ae-49d8-ad43-33b4db6ff02a/etd_pdf/9cf0e6ab2f9067a6c9f559e06d2a42a4/chironda-narratorsnavigatorsandnegotiatorsforeignservice.pdf,Canadian History; International Law and Relations;African History,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg
hist_19,The Canadian War Museums 1812: A Question of Perspective,pdf,"Lamancusa, Philip Michael",2019,Master of Arts,https://curve.carleton.ca/a86ce0fb-ad0e-40ff-b278-85139d954e27,"This thesis focuses on the ""Four Wars of 1812,"" or simply 1812, exhibit produced by the Canadian War Museum (CWM) in Ottawa, open to the general public from 13 June 2012 to 6 January 2013. An investigation of museum documents, academic literature and news media, viewer feedback, and interviews with museum staff involved with the project has been conducted. Examined here are exhibit development, approach, and content, as well as public responses to the exhibit, government policy, museum practice, and a national conversation about war and peace in the context of the Bicentennial of the War of 1812. The thesis concludes that the CWM successfully walked a tightrope, aware of but avoiding politics and controversy while appealing to a wide audience and fulfilling the museum's responsibilities to stakeholders and scholarship.",Canada;Ottawa;Canada War Museum,https://curve.carleton.ca/system/files/etd/a86ce0fb-ad0e-40ff-b278-85139d954e27/etd_pdf/297e38511a95f515c88f665fc25cb332/lamancusa-thecanadianwarmuseums1812aquestionofperspective.pdf,Canadian History,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg
hist_20,"Academic Accessibility : $$b A Case Study of Carleton University from a Physically Disabled Perspective, 1942 - 2019",pdf,"Peirce, Hollis Jack Beaumont",2019,Master of Arts,https://curve.carleton.ca/30d6d1f8-c0d8-4f8c-a288-db9b65dff45b,"This thesis was completed in order to analyze how Carleton University has viewed accessibility during its history. It will do so by using two theoretical perspectives of disability, the medical and social models. They will be used to demonstrate how Carleton University has gone about building not only its physical infrastructure but also policy for its intellectual infrastructure under influence of the medical model. It first looks at how Carleton built its reputation of being one of Canada's most accessible post secondary institutions. To understand this a number of different sources were put to use. Along with standard secondary sources, such as books and journal articles, this thesis also contains a series of interviews, an accessibility audit, and personal vignettes. These interviews and vignettes are excellent tools to demonstrate how Carleton has shifted its focus of accessibility away from physical and towards cognitive disabilities.",Canada;Ottawa;Carleton University,https://curve.carleton.ca/system/files/etd/30d6d1f8-c0d8-4f8c-a288-db9b65dff45b/etd_pdf/7d5eb67240f4fa17e8cfb0d37b4114bf/peirce-academicaccessibilityacasestudyofcarleton_r.pdf,Canadian History,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a,https://carleton.ca/campus/map/building_img/Paterson%20Hall.jpg
